,Price,NumBedrooms,NumBathrooms,Floor_Space,Frontyard_space_in_ft,Bathroom_Level,Bedroom_Level,Primary_Bedroom_Level,Architectural Style,Number_Parking_Spaces
610,599000.0,3.0,2.0,1839.2842264150943,58.57068322981366,1,4,-1,-1.0,2.0
611,434900.0,3.0,2.0,1839.2842264150943,58.57068322981366,-1,4,4,-1.0,1.0
612,1080990.0,3.0,3.0,1535.0,58.57068322981366,2,2,-1,7.0,0.0
613,1039990.0,3.0,3.0,1452.0,58.57068322981366,2,2,-1,7.0,0.0
614,956990.0,3.0,3.0,1315.0,58.57068322981366,2,2,-1,7.0,0.0
615,832990.0,2.0,3.0,1128.0,58.57068322981366,2,2,-1,7.0,0.0
616,814990.0,3.0,2.0,1084.0,58.57068322981366,2,2,-1,7.0,0.0
617,755990.0,2.0,2.0,1068.0,58.57068322981366,2,2,-1,7.0,0.0
618,699990.0,1.0,2.0,931.0,58.57068322981366,2,2,-1,7.0,0.0
619,697990.0,2.0,2.0,914.0,58.57068322981366,2,2,-1,7.0,0.0
620,679990.0,2.0,2.0,879.0,58.57068322981366,2,2,-1,7.0,0.0
621,524990.0,1.0,1.0,649.0,58.57068322981366,2,2,-1,7.0,0.0
622,1048000.0,4.0,4.0,1720.0,36.0,4,4,4,3.0,0.0
623,849000.0,6.0,1.0,0.0,32.0,-1,-1,-1,-1.0,1.0
624,409900.0,2.0,2.0,1036.2,58.57068322981366,2,2,2,7.0,0.0
625,699000.0,3.0,3.0,1685.0,21.0,2,4,4,3.0,2.0
626,1049000.0,4.0,3.0,1839.2842264150943,58.57068322981366,-1,4,4,-1.0,4.0
627,1880000.0,4.0,5.0,3500.0,72.15,4,4,4,3.0,0.0
628,1400000.0,0.0,1.0,1839.2842264150943,18.08,-1,-1,-1,-1.0,0.0
629,1300000.0,4.0,1.0,1675.0,33.0,-1,-1,-1,-1.0,0.0
630,949000.0,1.0,1.0,1839.2842264150943,72.15,-1,-1,-1,-1.0,0.0
631,159900.0,1.0,1.0,1839.2842264150943,58.57068322981366,-1,-1,-1,-1.0,0.0
632,1.0,9.0,5.0,1839.2842264150943,58.57068322981366,-1,2,-1,-1.0,8.0
633,1499900.0,4.0,4.0,2893.0,67.0,4,4,4,3.0,0.0
634,1249900.0,5.0,4.0,2815.0,57.14,5,4,4,3.0,0.0
